"age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
20;251,3113973;244,3313455;243,5302592;211,2998862;179,0695133;183,3759341;187,6823548;182,4198578;300,2331046;336,4459626;368,3715596;338,7584809;298,3540332;334,8598565;292,7485375;382,8947706;422,1407913
21;253,936144;253,3336239;252,5030219;218,6030512;184,7030804;189,0369304;193,3707803;188,1665793;310,3759936;349,4595146;389,9626965;352,0753745;307,263818;341,1406173;299,7673768;393,5985909;439,3101526
22;255,2518478;260,6519913;259,7973946;225,0695918;190,341789;194,7620299;199,1822708;193,8676032;314,4532657;354,6040302;404,2806508;359,7579071;312,8074676;342,8780989;303,8030342;398,5666774;447,9606616
23;255,1133288;266,2174864;265,3446421;230,6249959;195,9053496;200,4269804;204,9486113;199,3584637;311,6151028;351,5039348;408,2867749;361,5148455;315,0468388;340,64847;305,0914281;397,5074062;447,7480416
24;253,636095;269,9580131;269,0729049;235,1906928;201,3084807;205,9485643;210,5886478;204,5712081;303,0888884;340,1381142;401,0645754;357,4794232;314,1734803;334,9489862;303,9596874;392,0700659;440,9047365
25;251,0457132;271,7362758;270,8453372;238,6559825;206,4666279;211,2495093;216,0323908;209,4793712;290,7925022;322,473032;383,5420848;348,4832001;310,5169906;326,580275;300,8050912;384,034795;430,2827266
26;247,8291949;271,3221942;270,4326132;240,8692426;211,3058721;216,2569353;221,2079985;214,0650885;277,9350073;301,3629033;358,4455607;335,182852;304,4420817;310,1905048;296,0070155;373,8209504;416,6879972
27;244,5450068;268,9991368;268,1171724;241,9429592;215,768746;220,8999834;226,0312207;218,3025394;266,7031915;280,1260825;329,9310171;318,6959691;296,3934593;304,4486103;289,985079;361,582124;399,9785464
28;241,7139197;265,2805523;264,41078;242,113314;219,8158481;225,1244669;230,4330856;222,1796648;258,7455602;261,5836734;297,6113243;300,2505153;286,8938124;297,9022143;283,1774699;348,2736633;380,7384287
29;239,7324161;260,8989984;260,0435918;241,7439546;223,4443175;228,9109188;234,3775202;225,7285428;255,2723399;248,8225534;269,691157;281,2389509;276,5487863;275,849432;275,981877;333,8560774;360,2022427
30;238,7408316;256,3020969;255,4617622;241,1257758;226,7897893;232,3237152;237,857641;228,9595607;244,9725277;243,4518986;254,6750045;262,9231832;266,0477308;259,7915877;268,8834463;317,9918739;338,8337286
31;238,5927752;252,2434075;251,41638;240,7448079;230,0732359;235,5623247;241,0514134;232,0226773;245,8583053;221,3972802;247,9379366;249,0272593;256,3264986;245,3041939;262,4245951;300,0955933;317,1625907
32;239,4649153;249,6031279;248,784757;241,1842907;233,5838244;238,9009214;244,2180183;235,1509725;246,6384458;213,7558172;245,5701968;238,4547071;248,2928248;240,1000194;257,2472333;282,5723688;297,728655
33;241,591599;248,3514792;247,5372121;242,5874074;237,6376026;242,5957639;247,5539252;238,5100091;247,3230299;211,0990548;242,4071335;231,6965261;242,665091;233,789598;253,9299847;268,1336413;282,0936267
34;244,9979565;248,6536554;247,8383975;245,1883946;242,5383916;246,9699089;251,4014262;242,375857;247,9309444;213,8178031;241,6176514;229,1421586;240,0357384;233,8462055;253,0106125;260,0914323;272,096253
35;250,1118072;251,4754288;250,6509192;249,6297178;248,6085164;252,3857843;256,1630523;247,0954812;248,3907366;220,6443575;243,5588203;231,1669111;240,7553903;239,1347893;254,7156575;259,4364191;268,9460916
36;257,0822673;257,4208382;256,5768355;256,3328318;256,0888281;259,1273229;262,1658177;253,0316869;249,7609602;231,743543;248,5916206;237,5657075;244,946461;249,2784669;259,1867427;264,6074689;271,3502137
37;266,0586043;266,5654278;265,6914428;265,4557923;265,2201418;267,4820303;269,7439188;260,4607655;252,7791893;262,0304025;256,7825905;247,7360075;252,4130563;261,0803581;266,5083756;275,5601542;276,900604
38;277,1075798;278,8095169;277,8953873;276,9700224;276,0446574;277,5953155;279,1459735;269,6139029;257,8780191;273,4126528;267,5342517;260,0127096;262,4043651;272,609592;276,2550086;289,296096;285,9056558
39;290,1173189;293,5898167;292,6272271;290,5530022;288,4787773;289,5002052;290,521633;280,7117675;265,5042248;279,562132;280,8773187;273,9304041;274,542223;286,1086639;288,3582921;304,3511879;297,1815726
40;305,06254;311,2244898;310,2040816;306,377551;302,5510204;303,2755102;304;294;276;293;297;290;289;302;303;320;311
41;321,9621665;330,8985383;329,8136251;325,7452004;321,6767758;320,665274;319,6537721;309,5220764;288,8581108;314,280367;316,0594361;308,827241;305,9044425;320,5270666;320,3027608;337,117399;327,9658329
42;340,7598824;351,8690604;350,7153914;346,3891324;342,0628735;339,843023;337,6231726;327,4236636;304,1406514;342,7195328;337,8375816;329,7636656;324,9436862;341,1340913;340,1313639;356,1662957;347,3813089
43;361,4529627;374,0652139;372,8387706;368,2396081;363,6404456;360,8968407;358,1532358;347,923561;321,7996747;370,932415;361,2604847;351,6250793;345,3598626;362,5666871;362,1319172;380,5464782;373,4673388
44;384,3668893;398,2863236;396,9804668;392,0835038;387,1865408;384,3069671;381,4273933;371,1932036;341,8864406;395,548071;385,8547604;374,0056476;367,2422988;384,5861271;386,0563678;410,3856722;406,8510262
45;409,1443892;424,9649654;423,5716376;418,3466585;413,1216794;410,3919726;407,6622658;397,5265643;364,4796877;417,2387352;411,2045151;396,874446;391,0317354;408,2716296;412,2306118;443,7339233;442,426606
46;435,9065717;454,2610041;452,7716238;447,1864475;441,6012712;439,2163923;436,8315134;427,024726;389,6306756;440,302107;438,1820999;422,1091033;417,727475;434,2699038;440,9215407;480,4297018;481,1784595
47;465,1030562;486,4408815;484,8459934;478,8651628;472,8843323;471,0722127;469,2600931;459,9324174;417,4650287;467,1710035;467,5270668;451,5448174;447,9445242;463,7526774;472,253361;519,911628;520,7636838
48;497,1743787;521,9340387;520,2227795;513,8055577;507,3883359;506,2937433;505,1991506;496,5455237;448,240684;498,4042711;499,9742;486,2486877;482,7317648;496,8949742;506,3156542;557,0020988;561,9258794
49;532,4778122;561,1542438;559,3143938;552,4149564;545,5155189;545,1967831;544,8780473;536,9808291;482,1596541;535,5695848;535,9618061;526,050003;522,6418195;536,158528;543,9441091;592,4336054;598,4509779
50;571,7218476;603,8695359;601,8896358;594,4650103;587,0403849;587,7710368;588,5016888;581,1470073;519,3066201;576,7662209;575,9968443;570,2488128;567,7483312;581,5785706;586,2402802;623,7350225;629,960545
51;614,7884032;649,0956484;646,9674659;638,9867817;631,0060975;633,5628182;636,1195389;629,1154793;559,7774434;620,6607882;620,2114277;618,2997283;617,6317164;631,8149666;633,5186373;659,035169;664,7692495
52;661,2293737;696,5880818;694,3041865;685,7395789;677,1749713;682,4939825;687,8129936;680,963287;603,8113683;668,9015192;668,4511013;669,0358277;671,7530336;687,2866203;687,1559688;706,344046;710,634156
53;710,4815995;747,713525;745,2620053;736,0688062;726,8756071;735,3957877;743,9159684;737,0800343;651,6370959;720,7835691;720,7641006;723,102901;730,3378757;748,6980905;747,5424184;768,246122;767,2998799
54;762,8645071;802,57542;799,9440252;790,0762946;780,208564;792,4816277;804,7546915;797,8442179;703,5600668;776,1161498;777,4810746;782,2456979;794,0334961;817,0055227;814,5129151;841,3375928;831,0945028
55;819,508957;862,0577259;859,2313072;848,6322368;838,0331664;854,4097666;870,7863669;863,724036;760,0568412;836,7132072;839,6022334;847,4210021;863,6915424;891,7139135;887,4192624;919,9981435;899,5991578
56;881,738071;926,1134238;923,0769863;911,6903459;900,3037054;921,3931224;942,4825393;935,1305104;821,5491101;905,5892653;908,7918476;920,2773882;939,8814256;972,1648988;965,7287459;1003,077718;972,4935938
